,id,type,VL,VH,VN,VM,RED,Total
199,971560,AC,655.287,521.987,483.327,601.593,700.0,610.3656666666667
200,977281,AC,527.61,521.987,568.373,405.554,775.0,595.5873333333333
201,937129,AC,591.448,733.907,610.897,405.554,550.0,573.6343333333333
202,931773,AC,591.448,521.987,440.804,552.583,750.0,601.1370000000001
203,965648,AC,399.934,416.026,398.281,503.574,850.0,569.6358333333334
204,978428,AC,336.095,416.026,483.327,503.574,750.0,539.837
205,970639,AC,368.014,416.026,398.281,454.564,800.0,539.4808333333334
206,922681,AC,431.853,469.007,440.804,405.554,700.0,524.5363333333333
207,980188,AC,336.095,363.046,398.281,454.564,775.0,516.9976666666666
208,912437,AC,336.095,416.026,398.281,356.545,675.0,476.1578333333334
209,972533,L1,559.529,574.967,398.281,454.564,850.0,614.5568333333334
210,978135,L1,368.014,416.026,440.804,552.583,725.0,537.9045
211,912284,L1,431.853,416.026,398.281,405.554,500.0,441.95233333333334
212,937422,L1,463.772,469.007,525.85,356.545,100.0,335.8623333333333
213,911039,L3,495.691,521.987,483.327,552.583,750.0,592.2646666666666
214,977189,L3,368.014,416.026,440.804,552.583,700.0,529.5711666666667
215,957212,L3,304.176,310.066,483.327,503.574,500.0,433.52383333333336
216,958576,L5,623.367,363.046,440.804,601.593,775.0,596.4683333333334
217,935556,L7,495.691,469.007,610.897,552.583,750.0,604.6963333333333
218,912064,L7,463.772,469.007,610.897,503.574,725.0,582.875
219,963686,L7,368.014,469.007,483.327,454.564,725.0,537.4853333333334
220,981255,L7,431.853,363.046,398.281,356.545,750.0,508.2875000000001
221,978020,AC,719.125,521.987,610.897,503.574,700.0,625.9305
222,954460,AC,495.691,627.947,483.327,454.564,850.0,626.9215
223,955508,L3,495.691,416.026,525.85,454.564,700.0,548.6885000000001
224,968509,AC,495.691,680.927,695.943,699.612,800.0,695.3621666666667
225,974136,AC,495.691,627.947,610.897,454.564,900.0,664.8498333333333
226,914301,AC,591.448,521.987,695.943,503.574,775.0,643.8253333333333
227,911865,AC,591.448,521.987,440.804,552.583,875.0,642.8036666666667
228,979238,AC,527.61,521.987,483.327,601.593,825.0,630.7528333333333
229,972383,AC,463.772,469.007,610.897,503.574,825.0,616.2083333333334
230,963246,AC,559.529,469.007,525.85,503.574,750.0,592.9933333333333
231,909451,AC,463.772,574.967,483.327,503.574,750.0,587.6066666666667
232,954048,AC,623.367,363.046,483.327,405.554,850.0,595.8823333333333
233,979429,AC,495.691,469.007,483.327,601.593,750.0,591.603
234,977527,AC,495.691,469.007,483.327,454.564,725.0,558.7648333333333
235,970548,AC,431.853,416.026,440.804,601.593,750.0,565.0459999999999
236,948716,AC,399.934,469.007,483.327,552.583,725.0,559.1418333333334
237,913382,AC,399.934,574.967,398.281,356.545,750.0,538.2878333333333
238,958782,AC,431.853,363.046,440.804,552.583,800.0,564.7143333333333
239,970656,AC,431.853,469.007,398.281,405.554,775.0,542.4491666666667
240,966651,AC,495.691,363.046,525.85,405.554,750.0,548.3568333333334
245,975448,AC,431.853,416.026,398.281,454.564,775.0,541.7873333333333
246,979390,AC,463.772,416.026,483.327,356.545,725.0,528.2783333333333
247,975300,AC,431.853,363.046,483.327,454.564,750.0,538.7983333333333
248,925785,AC,463.772,469.007,355.758,356.545,650.0,490.84700000000004
249,939492,AC,431.853,310.066,440.804,405.554,650.0,481.3795
250,980194,AC,399.934,469.007,398.281,454.564,475.0,445.29766666666666
251,951946,L1,623.367,521.987,610.897,552.583,775.0,643.139
252,962593,L1,559.529,627.947,483.327,503.574,775.0,620.7295
253,914362,L1,463.772,574.967,398.281,405.554,700.0,540.429
254,958069,L1,368.014,416.026,525.85,405.554,725.0,527.574
255,919321,L1,399.934,363.046,440.804,405.554,750.0,518.2230000000001
256,954967,L3,527.61,521.987,483.327,552.583,800.0,614.2511666666667
257,910638,L3,527.61,521.987,525.85,503.574,750.0,596.5035
258,956994,L3,336.095,521.987,398.281,552.583,650.0,518.1576666666666
259,954010,L3,431.853,469.007,398.281,405.554,675.0,509.11583333333334
260,950986,L3,399.934,363.046,483.327,454.564,700.0,516.8118333333333
261,917249,L3,368.014,310.066,398.281,601.593,750.0,529.659
262,957072,L3,304.176,416.026,483.327,356.545,750.0,510.01233333333334
263,921756,L3,399.934,363.046,398.281,454.564,675.0,494.3041666666666
264,915146,L3,336.095,521.987,440.804,405.554,500.0,450.74
265,957003,L4,399.934,416.026,525.85,454.564,750.0,549.3956666666667
266,979224,L5,368.014,469.007,440.804,356.545,825.0,547.395
267,956897,L5,463.772,521.987,398.281,405.554,650.0,514.9323333333333
268,954541,L7,559.529,416.026,568.373,552.583,775.0,607.7518333333334
269,952908,L7,495.691,363.046,695.943,503.574,825.0,618.0423333333333
270,931778,L7,463.772,469.007,525.85,503.574,700.0,560.3671666666667
271,944772,L7,368.014,416.026,525.85,503.574,600.0,502.24399999999997
272,957532,AC,687.206,521.987,823.512,797.631,500.0,638.3893333333333
273,956554,AC,591.448,680.927,695.943,552.583,775.0,678.4834999999999
274,974621,AC,623.367,521.987,483.327,650.602,825.0,654.8805
275,959685,AC,623.367,574.967,398.281,503.574,850.0,633.3648333333333
276,951281,AC,591.448,363.046,525.85,699.612,725.0,604.9926666666667
277,981353,AC,527.61,574.967,568.373,552.583,775.0,628.9221666666666
278,912602,AC,527.61,521.987,568.373,503.574,825.0,628.5906666666666
279,914253,AC,431.853,521.987,610.897,601.593,800.0,627.7216666666667
280,952351,AC,623.367,521.987,483.327,503.574,750.0,605.3758333333333
281,953737,AC,559.529,521.987,440.804,503.574,825.0,612.649
282,912454,AC,591.448,310.066,483.327,503.574,875.0,606.4025
283,932875,AC,527.61,469.007,483.327,503.574,850.0,613.9196666666667
284,978454,AC,463.772,521.987,568.373,552.583,775.0,609.4525
285,910327,AC,495.691,469.007,483.327,552.583,800.0,600.1013333333334
286,927339,AC,495.691,521.987,610.897,454.564,800.0,613.8565
287,921427,AC,495.691,416.026,568.373,601.593,725.0,588.6138333333333
288,961461,AC,559.529,416.026,525.85,454.564,700.0,559.3281666666667
293,910640,AC,368.014,310.066,568.373,552.583,825.0,574.8393333333333
294,977169,AC,463.772,363.046,483.327,552.583,700.0,543.788
295,921417,AC,431.853,469.007,483.327,454.564,775.0,564.7918333333333
296,978318,AC,463.772,363.046,525.85,454.564,725.0,542.872
297,966018,AC,463.772,363.046,398.281,503.574,700.0,521.4454999999999
298,909947,AC,463.772,416.026,483.327,356.545,775.0,544.945
299,971771,AC,336.095,363.046,525.85,503.574,750.0,538.0941666666666
300,978386,AC,431.853,416.026,483.327,356.545,750.0,531.2918333333333
301,975997,AC,431.853,416.026,440.804,405.554,625.0,490.70616666666666
302,910681,AC,399.934,310.066,440.804,454.564,600.0,467.5613333333334
303,980853,AC,431.853,416.026,440.804,503.574,450.0,448.7095
304,955130,AC,336.095,363.046,355.758,601.593,100.0,309.41533333333336
305,955187,L1,559.529,363.046,483.327,650.602,800.0,609.4173333333333
306,962936,L1,495.691,469.007,568.373,601.593,700.0,589.1106666666666
307,980887,L1,399.934,416.026,398.281,405.554,700.0,503.2991666666667
308,970980,L3,431.853,521.987,568.373,552.583,725.0,587.466
309,970767,L3,527.61,469.007,355.758,503.574,775.0,567.6581666666667
310,915178,L3,559.529,416.026,483.327,405.554,700.0,544.0726666666667
311,971975,L3,463.772,521.987,398.281,405.554,700.0,531.599
312,978581,L3,368.014,416.026,440.804,454.564,725.0,521.5680000000001
313,920347,L5,527.61,521.987,440.804,503.574,775.0,590.6625
314,977389,L7,623.367,521.987,568.373,503.574,725.0,611.2168333333333
315,916608,L7,559.529,627.947,483.327,503.574,750.0,612.3961666666667
316,918282,L7,527.61,416.026,440.804,552.583,725.0,564.5038333333333
317,977889,AC,527.61,733.907,653.42,601.593,650.0,636.0883333333333
318,952318,AC,591.448,574.967,398.281,552.583,825.0,627.8798333333333
319,937983,AC,623.367,627.947,398.281,356.545,800.0,601.0233333333333
320,969381,AC,623.367,521.987,483.327,503.574,775.0,613.7091666666666
321,966109,AC,495.691,521.987,483.327,552.583,800.0,608.9313333333333
322,912292,AC,463.772,521.987,525.85,503.574,775.0,594.1971666666667
323,969577,AC,495.691,469.007,440.804,503.574,825.0,593.1793333333334
324,913472,AC,463.772,574.967,483.327,503.574,725.0,579.2733333333334
325,979634,AC,463.772,416.026,525.85,552.583,800.0,593.0385
326,945498,AC,495.691,469.007,440.804,454.564,725.0,551.6776666666666
327,978040,AC,495.691,469.007,440.804,454.564,725.0,551.6776666666666
328,961456,AC,463.772,416.026,525.85,454.564,750.0,560.0353333333334
329,980888,AC,495.691,627.947,483.327,503.574,500.0,518.4231666666666
330,912446,AC,463.772,416.026,440.804,454.564,725.0,537.5276666666667
331,966074,AC,368.014,469.007,483.327,454.564,725.0,537.4853333333334
332,951815,AC,463.772,469.007,440.804,405.554,675.0,521.5228333333333
333,970515,AC,368.014,416.026,440.804,552.583,750.0,546.2378333333334
334,969468,AC,431.853,469.007,355.758,503.574,700.0,526.6986666666667
335,948440,AC,495.691,310.066,483.327,503.574,700.0,532.1096666666666
336,921642,AC,399.934,469.007,355.758,503.574,700.0,521.3788333333333
341,972399,AC,431.853,416.026,440.804,454.564,700.0,523.8745
342,979336,AC,431.853,416.026,525.85,405.554,675.0,521.5471666666666
343,974646,AC,431.853,416.026,398.281,405.554,725.0,516.9523333333333
344,946472,AC,399.934,416.026,483.327,503.574,625.0,508.81016666666665
345,952471,AC,336.095,416.026,525.85,405.554,700.0,513.9208333333333
346,944112,AC,399.934,416.026,483.327,454.564,625.0,500.64183333333335
347,981399,AC,304.176,310.066,483.327,454.564,800.0,525.3555
348,923140,AC,495.691,363.046,355.758,405.554,550.0,453.3415
349,937435,L1,495.691,521.987,483.327,552.583,800.0,608.9313333333333
350,944005,L1,495.691,363.046,440.804,454.564,875.0,584.0175
351,956396,L1,399.934,469.007,568.373,454.564,725.0,556.9796666666667
352,914946,L1,463.772,363.046,483.327,454.564,750.0,544.1181666666666
353,910554,L1,368.014,363.046,525.85,503.574,725.0,535.0806666666666
354,965502,L1,304.176,416.026,398.281,552.583,700.0,511.8443333333333
355,971539,L1,431.853,416.026,440.804,454.564,550.0,473.87450000000007
356,970578,L1,336.095,363.046,355.758,405.554,550.0,426.74216666666666
357,964713,L1,399.934,574.967,398.281,552.583,100.0,354.2941666666666
358,967481,L3,368.014,574.967,483.327,552.583,725.0,571.4818333333334
359,929258,L3,463.772,416.026,440.804,454.564,825.0,570.861
360,951707,L3,431.853,416.026,525.85,405.554,800.0,563.2138333333334
361,921468,L3,336.095,469.007,440.804,454.564,700.0,516.745
362,915052,L3,399.934,363.046,440.804,454.564,650.0,493.058
363,976698,L3,463.772,310.066,313.235,454.564,700.0,490.27283333333327
364,978299,L3,304.176,310.066,355.758,454.564,675.0,462.42733333333337
365,959374,L4,368.014,416.026,483.327,454.564,775.0,545.3218333333333
366,976317,L5,399.934,469.007,398.281,454.564,700.0,520.2976666666667
367,964459,L7,559.529,469.007,525.85,454.564,525.0,509.825
368,914915,L7,431.853,416.026,525.85,454.564,700.0,538.0488333333334
369,966004,L7,463.772,416.026,440.804,405.554,700.0,521.026
370,958164,L7,368.014,521.987,440.804,405.554,650.0,506.0598333333333
371,963802,AC,591.448,310.066,483.327,454.564,775.0,564.9008333333333
372,975053,AC,527.61,521.987,440.804,356.545,675.0,532.8243333333334
373,933679,AC,559.529,363.046,398.281,405.554,750.0,537.735
374,978791,AC,336.095,574.967,440.804,552.583,525.0,492.40816666666666
375,938507,AC,495.691,574.967,483.327,405.554,100.0,359.92316666666665
376,975087,AC,527.61,363.046,525.85,601.593,100.0,369.68316666666664
377,951089,AC,495.691,416.026,398.281,356.545,100.0,311.0905
378,942097,L3,431.853,521.987,610.897,552.583,575.0,544.5533333333334
379,943993,L5,623.367,680.927,440.804,454.564,850.0,649.9436666666667
380,979624,L5,399.934,521.987,525.85,405.554,775.0,567.2208333333334
381,975521,L5,463.772,469.007,483.327,503.574,775.0,578.2800000000001
382,979595,L5,495.691,416.026,440.804,552.583,750.0,567.5173333333333
383,960835,AC,655.287,627.947,653.42,552.583,850.0,698.2061666666667
384,968676,AC,655.287,627.947,610.897,503.574,875.0,691.2841666666667
389,934357,AC,527.61,521.987,695.943,601.593,725.0,632.8555
390,949561,AC,623.367,416.026,525.85,552.583,850.0,636.3043333333334
